Дата рождения	Имя	Фамилия	Отчество	Код клиента
1988 Feb 10 Питер	Виссарион	Бражин	Валентинович	62
17.05.1986	Виталий	Бражкин	Валерианович	63
21.05.1986	Владилен	Бражник	Валерьянович	64
19861005 Москва	Владлен	Бражников	Валериевич	65
25.05.1988	Владимир	Бражницын	Варламович	66
04.05.1988	Владислав	Брайнин	Варламиевич	67
5-10-1986 город Коломна	Влас	Брайнович	Варнавич	68
05.05.1954	Всеволод	Браславский	Варсонофович	69
05.01.1988	Всемил	Браслетов	Варсонофиевич	70
05.10.2226	Всеслав	Братанов	Варфоломеевич	71
05.10.2306	Вышеслав	Братишкин	Васильевич	72
05.10.1988	Вячеслав	Братищев	Вассианович	73
дата 05101988	Гавриил	Братков	Велизарович	74
дата 15 January 1961	Галактион	Братухин	Велимирович	75
дата 1986/05 Москва	Гедеон	Братцев	Венедиктович	76
дата рождения 5.10.1988	Геннадий	Братчиков	Вениаминович	77
рождения 05/10/1982Москва	Георгий	Бредихин	Веньяминович	78
05.10.1989	Герасим	Брежнев	Венцеславович	79
12.янв.93	Герман	Брежной	Викентиевич	80
18 августа 1957	Глеб	Брежный	Викторович	81
18 мая 1954	Гордей	Выскубов	Викториевич	82
18.сен.56	Гостомысл	Высокий	Викулович	83
15.12.1848	Гремислав	Высоких	Викулич	84
1950	Григорий	Высоков	Виленович	85
1954 год	Гурий	Высокович	Вильгельмович	86
1989 Feb 10 Питер	Давыд	Высокоостровский	Виссарионович	87
25.05.1986	Данила	Высоцкий	Виталиевич	88
29.05.1986	Дементий	Вытчиков	Витольдович	89
19861005 Москва	Демид	Выходцев	Владиленович	90
25.05.1989	Демьян	Вычегжанин	Владимирович	91
04.05.1989	Денис	Вычегжанинов	Владиславович	92
5-10-1986 город Коломна	Дмитрий	Вышегородцев	Владленович	93
05.05.1955	Добромысл	Вышеградский	Власович	94
05.01.1989	Доброслав	Вышеславцев	Власиевич	95
05.10.1986	Дорофей	Вышняков	Вонифатович	96
05.10.1966	Евгений	Вьюниченко	Вонифатиевич	97
05.10.1989	Евграф	Вьюрков	Всеволодович	98
дата 05101989	Евдоким	Вьющенко	Всеславович	99
дата 15 January 1962	Евлампий	Вязгин	Вуколович	100
дата 1986/05 Москва	Евсей	Вязгунов	Вышеславович	101
дата рождения 5.10.1989	Евстафий	Вяземский	Вячеславович	102
рождения 05/10/1986Москва	Евстигней	Вяземцев	Бенедиктович	103
05.10.1990	Егор	Вязников	Богданович	104
12.янв.94	Елизар	Вязов	Болеславович	105
19 августа 1957	Елисей	Вязовкин	Бонифатович	106
19 мая 1954	Емельян	Вязовой	Бонифатиевич	107
19.сен.56	Епифан	Вязьмитин	Борисович	108
15.12.1849	Еремей	Вязьмитинов	Бориславович	109
1951	Ермил	Вялов	Брониславович	110
1955 год	Ермолай	Вяльцев	Вавилич	111
1990 Feb 10 Питер	Ерофей	Вяткин	Вадимович	112
31.05.1986	Ефим	Вятков	Валентинович	113
27.05.1986	Ефрем	Вятчинин	Валерианович	114
19861005 Москва	Захар	Вяхирев	Валерьянович	115
25.05.1990	Зиновий	Вяхорев	Валериевич	116
04.05.1990	Зосима	Вячеславлев	Варламович	117
5-10-1986 город Коломна	Иван	Вячеславов	Варламиевич	118
05.05.1956	Игнатий	Вячеслов	Варнавич	119
05.01.1990	Игорь	Голубович	Варсонофович	120
05.10.1946	Измаил	Голубовский	Варсонофиевич	121
05.10.1986	Изот	Голубоцкий	Варфоломеевич	122
05.10.1990	Изяслав	Голубушкин	Васильевич	123
дата 05101990	Иларион	Голубцов	Вассианович	124
дата 15 January 1963	Илья	Голубчик	Велизарович	125
дата 1986/05 Москва	Иннокентий	Голубятников	Велимирович	126
дата рождения 5.10.1990	Осип	Голузин	Венедиктович	127
рождения 05/10/1986Москва	Ипат	Голутвин	Вениаминович	128
05.10.1991	Ипатий	Голчин	Веньяминович	129
12.янв.95	Ипполит	Голыгин	Венцеславович	130
20 августа 1957	Ираклий	Голышев	Викентиевич	131
20 мая 1954	Исай	Голышевский	Викторович	132
20.сен.56	Исидор	Голышкин	Викториевич	133
15.12.1850	Казимир	Гольдин	Викулович	134
1952	Каллистрат	Гольцев	Викулич	135
1956 год	Капитон	Гольцов	Виленович	136
1991 Feb 10 Питер	Карл	Голягин	Вильгельмович	137
01.05.1986	Карп	Голядкин	Виссарионович	138
14.05.1986	Касьян	Голямов	Виталиевич	139
19861005 Москва	Ким	Гомбоев	Витольдович	140
25.05.1991	Кир	Гомбурцев	Владиленович	141
04.05.1991	Кирилл	Гомеров	Владимирович	142
5-10-1986 город Коломна	Клавдий	Гомзиков	Владиславович	143
05.05.1957	Клементий	Гомзин	Владленович	144
05.01.1991	Кондрат	Гомзяков	Власович	145
05.10.1993	Кондратий	Гомозин	Власиевич	146
05.10.1996	Конон	Гомозов	Вонифатович	147
05.10.1991	Константин	Гомоюнов	Вонифатиевич	148
дата 05101991	Корней	Гондобин	Всеволодович	149
дата 15 January 1964	Кузьма	Гондырев	Всеславович	150
дата 1986/05 Москва	Куприян	Гонимедов	Вуколович	151
дата рождения 5.10.1991	Лавр	Гонобобелев	Вышеславович	152
рождения 05/10/1986Москва	Лаврентий	Гонобоблев	Вячеславович	153
05.10.1992	Ладимир	Гонохов	Абакумович	154
12.янв.96	Ладислав	Гоношилин	Абрамович	155
21 августа 1957	Лазарь	Гоношин	Абросимович	156
21 мая 1954	Лев	Гоношихин	Аввакумович	157
21.сен.56	Леон	Гонтарев	Августович	158
15.12.1851	Леонид	Гонтаров	Авдеевич	159
1953	Леонтий	Гонтарук	Авдиевич	160
1957 год	Лонгин	Гонтарь	Авелевич	161
1992 Feb 10 Питер	Августа	Гонцова	 Авенировна	162
19.05.1986	Агата	Гончарова	 Авериевна	163
20.05.1986	Агафья	Гончаренко	Аверкиевна	164
19861005 Москва	Аглая	Гончарик	Аверьяновна	165
25.05.1992	Агнесса	Гончарова	 Авксентиевна	166
04.05.1992	Агния	Гончарук	Авраамовна	167
5-10-1986 город Коломна	Аграфена	Гораздова	Авраамиевна	168
05.05.1958	Агриппина	Горбаневская	 Аврамовна	169
05.01.1992	Ада	Горбань	Аврамьевна	170
05.10.1950	Аделаида	Горбатко	 Аврелиановна	171
05.10.1960	Аза	Горбаткова	 Автономовна	172
05.10.1992	Алевтина	Горбатова	 Агаповна	173
дата 05101992	Александра	Горбачева	Агапиевна	174
дата 15 January 1965	Алина	Горбатых	Агапитовна	175
дата 1986/05 Москва	Алиса	Горбач	 Агафоновна	176
дата рождения 5.10.1992	Алла	Горбачева	 Аггеевна	177
рождения 05/10/1986Москва	Альбина	Горбачевский	 Адамовна	178
05.10.1993	Анастасия	Горбаченко	Адриановна	179
12.янв.97	Ангелина	Горбенко	 Азаровна	180
22 августа 1957	Анисья	Горбенкова	Азариевна	181
22 мая 1954	Анна	Горбова	Акакиевна	182
22.сен.56	Антонида	Горбоносов	 Акимовна	183
15.12.1852	Антонина	Горбунина	 Акиндиновна	184
1954	Анфиса	Горбункова	Акинфовна	185
1958 год	Аполлинария	Горбунова	 Акинфиевна	186
1993 Feb 10 Питер	Ариадна	Горбунчикова	 Аксёновна	187
27.05.1986	Беатриса	Горбушина	Аксентиевна	188
10.05.1986	Берта	Горбушова	 Александровна	189
19861005 Москва	Борислава	Демьяненко	 Алексеевна	190
25.05.1993	Бронислава	Демьянец	 Алексиевна	191
04.05.1993	Валентина	Демьянова	 Альбертовна	192
5-10-1986 город Коломна	Валерия	Демьяновская	 Альфредовна	193
05.05.1959	Ванда	Демьянок	 Амвросиевна	194
05.01.1993	Варвара	Демьянчук	Амосовна	195
05.10.1974	Василиса	Демяник	 Амфилохиевна	196
05.10.1970	Васса	Демянко	 Ананиевна	197
05.10.1993	Вера	Демянова	 Анастасиевна	198
дата 05101993	Вероника	Демяновская	 Анатолиевна	199
дата 15 January 1966	Викторина	Деникина	 Андреевна	200
дата 1986/05 Москва	Виктория	Денисевич	 Андриановна	201
дата рождения 5.10.1993	Виргиния	Денисенко	 Андроновна	202
рождения 05/10/1986Москва	Влада	Денисова	 Андрониевна	203
05.10.1994	Владилена	Денисович	 Андрониковна	204
12.янв.98	Владлена	Денисычева	 Аникеевна	205
23 августа 1957	Владислава	Денисьева	Аникиевна	206
23 мая 1954	Власта	Денисюк	 Аникитична	207
23.сен.56	Всеслава	Денюхина	Анисиевна	208
15.12.1853	Галина	Денягина	Анисимовна	209
1955	Галя	Денякина	Антиоховна	210
1959 год	Ганна	Деплоранская	Антиповна	211
1994 Feb 10 Питер	Генриетта	Депутатова	Антипична	212
16.05.1986	Глафира	Дербенева	Антипиевна	213
19.05.1986	Горислава	Дербина	 Антоновна	214
19861005 Москва	Дарья	Дербышева	 Антониновна	215
25.05.1994	Диана	Дергачова	 Антроповна	216
04.05.1994	Дина	Деревщикова	Антропиевна	217
5-10-1986 город Коломна	Доминика	Деревягина	 Ануфриевна	218
05.05.1960	Домна	Деревянкина	 Аполлинарьевна	219
05.01.1994	Ева	Деревянникова	Аполлоновна	220
05.10.1983	Евгеиня	Деревяшкина	 Аполлосовна	221
05.10.1987	Евдокия	Державец	 Ардалионовна	222
05.10.1994	Евлампия	Державина	 Ардальоновна	223
дата 05101994	Екатерина	Державцева	Арефовна	224
дата 15 January 1967	Елена	Деркач	Арефьевна	225
дата 1986/05 Москва	Елизавета	Деркачова	Арьевна	226
дата рождения 5.10.1994	Ефросинья	Дерюгина	Аристарховна	227
рождения 05/10/1986Москва	Жанна	Дерябина	 Аристидовна	228
05.10.1995	Зинаида	Дерягина	Аркадьевна	229
12.янв.99	Злата	Десницкая	Арнольдовна	230
24 августа 1957	Зоя	Десяткина	Ароновна	231
24 мая 1954	Изабелла	Десятова	Арсеновна	232
24.сен.56	Изольда	Деткина	Арсеньевна	233
15.12.1854	Инга	Деткова	Арсентьевна	234
1956	Инесса	Детнева	Артамоновна	235
1960 год	Инна	Деточкина	 Артёмовна	236
1995 Feb 10 Питер	Ираида	Детушкина	Артемьевна	237
11.05.1986	Ирина	Деулина	Артуровна	238
17.05.1986	Ия	Дехтерева	 Архиповна	239
19861005 Москва	Казимира	Джавадова	Асафовна	240
25.05.1995	Калерия	Джура	Асафьевна	241
04.05.1995	Капитолина	Дзенискевич	Аскольдовна	242
5-10-1986 город Коломна	Каролина	Дзюбина	Афанасьевна	243
05.05.1961	Кира	Дианина	 Афиногеновна	244
05.01.1995	Клавдия	Дианова	Африкановна	245
05.10.1951	Клара	Диденко	Артамоновна	246
05.10.1960	Кларисса	Дидоренко	 Артёмовна	247
05.10.1995	Клементина	Деткина	Артемьевна	248
дата 05101995	Клеопатра	Деткова	Артуровна	249
дата 15 January 1968	Конкордия	Детнева	 Архиповна	250
дата 1986/05 Москва	Ксения	Деточкина	Асафовна	251
дата рождения 5.10.1995	Лада	Детушкина	Асафьевна	252
рождения 05/10/1986Москва	Лариса	Деулина	Аскольдовна	253
05.10.1996	Леокадия	Дехтерева	Афанасьевна	254
12.янв.00	Лиана	Джавадова	 Афиногеновна	255
25 августа 1957	Лидия	Джура	Африкановна	256
25 мая 1954	Лилиана	Дзенискевич	Артамоновна	257
25.сен.56	Измаил	Жабенков	Захарович	258
15.12.1855	Изот	Жабин	Захариевич	259
1957	Изяслав	Жабинский	Зенонович	260
1961 год	Иларион	Жабко	Зиновиевич	261
1996 Feb 10 Питер	Илья	Жабоедов	Зосимович	262
18.05.1986	Иннокентий	Жабрак	Зосимч	263
15.05.1986	Осип	Жабрук	Иакимович	264
19861005 Москва	Ипат	Жаворонков	Иакинфович	265
25.05.1996	Ипатий	Жаврук	Иванович	266
04.05.1996	Ипполит	Жаданов	Игнатович	267
5-10-1986 город Коломна	Ираклий	Жаднов	Игнатиевич	268
05.05.1962	Исай	Жадный	Игоревич	269
05.01.1996	Исидор	Жадобин	Иеронимович	270
05.10.1988	Казимир	Жадов	Измаилович	271
05.10.1947	Каллистрат	Жадовский	Изосимович	272
05.10.1996	Капитон	Жаков	Изотович	273
дата 05101996	Карл	Жалобин	Изяславович	274
дата 15 January 1969	Карп	Жальба	Илиодорович	275
дата 1986/05 Москва	Касьян	Жаравин	Илларионович	276
дата рождения 5.10.1996	Ким	Жаравихин	Иларионович	277
рождения 05/10/1986Москва	Кир	Жаравлев	Ильич	278
05.10.1995	Кирилл	Жаренов	Иннокентиевич	279
12.янв.01	Клавдий	Жареный	Иоаннович	280
26 августа 1957	Клементий	Жариков	Иович	281
26 мая 1954	Кондрат	Жарин	Ионич	282
26.сен.56	Кондратий	Жарких	Иосафатович	283
15.12.1956	Конон	Жарков	Иосифович	284
1958	Константин	Жаров	Ипатович	285
1962 год	Корней	Жаровский	Ипатиевич	286
1981 Feb 10 Питер	Кузьма	Жарун	Ипполитович	287
05.05.1986	Куприян	Жбанков	Ираклиевич	288
1986.0509	Лавр	Жбанников	Иринархович	289
19861005 Москва	Лаврентий	Жбанов	Иринеевич	290
25.05.1981	Ладимир	Жваликовский	Исаакович	291
04.05.1981	Ладислав	Жвалов	Исаакиевич	292
5-10-1986 город Коломна	Лазарь	Жданеня	Исаевич	293
05.05.1963	Лев	Жданкин	Исакович	294
05.01.1981	Леон	Жданович	Исакиевич	295
05.10.1966	Леонид	Ждахин	Исидорович	296
05.10.1946	Сидор	Жебов	Иустинович	297
05.10.1981	Сила	Жебра	Казимирович	298
дата 05101981	Силантий	Жебраков	Каллиникович	299
дата 15 January 1970	Сильвестр	Жебрун	Каллистович	300
дата 1986/05 Москва	Симон	Жебрунов	Каллистратович	301
дата рождения 5.10.1981	Сократ	Жевакин	Капитонович	302
рождения 05/10/1986Москва	Соломон	Жевнеров	Карионович	303
05.10.1998	Софон	Жевнин	Карлович	304
12.янв.02	Софрон	Жегалин	Карпович	305
27 августа 1957	Спартак	Жегалов	Касьянович	306
27 мая 1954	Спиридон	Жеглов	Кимович	307
27.сен.56	Станимир	Жегулев	Киприанови	308
15.12.1857	Станислав	Жегулин	Кирович	309
1959	Степан	Желваков	Кириакович	310
1963 год	Стоян	Желватых	Кирьякович	311
1998 Feb 10 Питер	Тарас	Желдаков	Кирикович	312
09.05.1986	Твердислав	Железников	Кириллович	313
10.05.1986	Творимир	Железнов	Кирсанович	314
19861005 Москва	Терентий	Железный	Клавдиевич	315
25.05.1998	Тимофей	Железняк	Климович	316
04.05.1998	Тимур	Железняка	Климентович	317
5-10-1986 город Коломна	Тит	Железняков	Климентиевич	318
05.05.1964	Тихон	Желнин	Кондратович	319
05.01.1998	Трифон	Желнинский	Кондратиевич	320
05.10.1926	Трофим	Желтиков	Кононович	321
05.10.1999	Ульян	Желтобрюхов	Конрадович	322
05.10.1998	Устин	Желтов	Константинович	323
дата 05101998	Фадей	Желтоногов	Корнеевич	324
дата 15 January 1971	Федор	Желтоножко	Корнелиевич	325
дата 1986/05 Москва	Федосий	Желтонос	Корнилович	326
дата рождения 5.10.1998	Федот	Иваков	Корнилиевич	327
рождения 05/10/1986Москва	Феликс	Иванаев	Ксенофонтович	328
05.10.1999	Феоктист	Иванеев	Кузьмич	329
12.янв.03	Феофан	Иваненко	Куприянович	330
28 августа 1957	Ферапонт	Иваненков	Захарович	331
28 мая 1954	Филарет	Иванец	Захариевич	332
28.сен.56	Филимон	Иваников	Зенонович	333
15.12.1858	Филипп	Иванилов	Зиновиевич	334
1960	Фирс	Иванин	Зосимович	335
1964 год	Флорентин	Иванисов	Зосимч	336
1999 Feb 10 Питер	Фока	Иванихин	Иакимович	337
10.05.1986	Фома	Иваничев	Иакинфович	338
19.05.1986	Фортунат	Иванишев	Иванович	339
19861005 Москва	Фотий	Иванишин	Игнатович	340
25.05.1999	Фрол	Иванишко	Игнатиевич	341
04.05.1999	Харитон	Иванишын	Игоревич	342
5-10-1986 город Коломна	Харлампий	Иванищев	Иеронимович	343
05.05.1965	Христофор	Иванищук	Измаилович	344
05.01.1999	Чеслав	Иванкин	Изосимович	345
05.10.3986	Эдуард	Иванко	Изотович	346
05.10.1969	Эммануил	Иванков	Изяславович	347
05.10.1999	Эмиль	Иванников	Илиодорович	348
дата 05101999	Эраст	Иванов	Илларионович	349
дата 15 January 1972	Эрнест	Ивановец	Иларионович	350
дата 1986/05 Москва	Эрнст	Иванович	Ильич	351
дата рождения 5.10.1999	Ювеналий	Ивановский	Иннокентиевич	352
рождения 05/10/1986Москва	Юлиан	Иванский	Иоаннович	353
05.10.1964	Юлий	Ивантеев	Иович	354
12.янв.04	Юрий	Ивантей	Ионич	355
29 августа 1957	Яков	Ивантьев	Иосафатович	356
29 мая 1954	Ян	Иванусьев	Иосифович	357
29.сен.56	Якуб	Иванушкин	Ипатович	358
15.12.1859	Януарий	Иванцев	Ипатиевич	359
1961	Ярополк	Иванцов	Ипполитович	360
1965 год	Ярослав	Иванченко	Ираклиевич	361
1969 Feb 10 Питер	Мартын	Иванченков	Иринархович	362
22.05.1986	Мартьян	Иванчиков	Иринеевич	363
23.05.1986	Матвей	Иванчин	Исаакович	364
19861005 Москва	Мефодий	Иванчихин	Исаакиевич	365
25.05.1950	Мечислав	Иванчов	Исаевич	366
04.05.1949	Милан	Иваншинцев	Исакович	367
5-10-1986 город Коломна	Милен	Иванычев	Исакиевич	368
05.05.1966	Милий	Иванышкин	Исидорович	369
05.01.1948	Милован	Иваньев	Иустинович	370
05.10.1946	Мина	Иванько	Казимирович	371
05.10.1942	Мир	Иваньков	Каллиникович	372
05.10.1948	Мирон	Иваньшин	Каллистович	373
дата 05101994	Мирослав	Иванюк	Каллистратович	374
дата 15 January 1973	Митофан	Иванюков	Капитонович	375
дата 1986/05 Москва	Михаил	Иванютин	Карионович	376
дата рождения 5.10.1990	Михей	Иванюшин	Карлович	377
рождения 05/10/1986Москва	Модест	Иванянков	Олегович	378
05.10.1973	Моисей	Ивасенко	Олимпиевич	379
12.янв.05	Мокей	Ивасишин	Онисимович	380
30 августа 1957	Мстислав	Ивахин	Онуфриевич	381
30 мая 1954	Назар	Ивахненко	Орестович	382
30.сен.56	Наркис	Ивахно	Осипович	383
15.12.1860	Натан	Ивахнов	Оскарович	384
1962	Наум	Ивахнушкин	Остапович	385
1966 год	Нестор	Ивачев	Павлович	386
1998 Feb 10 Питер	Никандр	Ивашев	Павлинович	387
20.05.1986	Никанор	Ивашенцев	Паисиевич	388
25.07.1986	Никита	Ивашечкин	Палладиевич	389
19861005 Москва	Никифор	Ивашин	Памфилович	390
25.05.1994	Никодим	Ивашиненко	Памфилиевич	391
04.05.1992	Николай	Ивашинников	Панкратович	392
5-10-1986 город Коломна	Никон	Ивашинцов 	Панкратиевич	393
05.05.1967	Нифонт	Лабудин	Пантелеевич	394
05.01.1975	Олег	Лабутин	Пантелеймонович	395
05.10.1984	Олимпий	Лабуткин	Панфилович	396
05.10.1986	Онуфрий	Лаверко	Парамонович	397
05.10.1967	Орест	Лаверычев	Парменович	398
дата 05101965	Осип	Лавников	Пармёнович	399
дата 15 January 1974	Остап	Лавренев	Парфёнович	400
дата 1986/05 Москва	Остромир	Лавренко	Парфениевич	401
дата рождения 5.10.1955	Павел	Лавренов	Парфентиевич	402
рождения 05/10/1986Москва	Панкратий	Лавренович	Патрикеевич	403
05.10.1992	Панкрат	Лаврентьев	Патрикиевич	404
12.янв.06	Пантелеймон	Лавренцев	Пафнутиевич	405
31 августа 1957	Панфил	Лавренчук	Пахомович	406
31 мая 1954	Парамон	Лавренюк	Пахомиеви	407
31 сен 56	Парфен	Лаврец	Перфилиевич	408
15.12.1861	Пахом	Лаврив	Петрович	409
1963	Петр	Лаврик	Пименович	410
1967 год	Пимен	Лавриков	Питиримович	411
1995 Feb 10 Питер	Платон	Лавримов	Платонович	412
19.05.1986	Поликарп	Лаврин	Поликарпович	413
13.05.1993	Порфирий	Лавриненко	Поликарпиевич	414
19861005 Москва	Потап	Лавриненков	Порфирович	415
25.05.1963	Пров	Лавринец	Порфириевич	416
04.05.1965	Прокл	Лавринов	Потапович	417
5-10-1986 город Коломна	Прокофий	Лавринович	Потапиевич	418
05.05.1968	Прохор	Лавринцев	Прович	419
05.01.1969	Радим	Лавриченко	Проклович	420
05.10.1989	Радислав	Лаврищев	Прокопович	421
05.10.1987	Радован	Лаврищенко	Прокопиевич	422
05.10.1978	Ратибор	Лавров	Прокофиевич	423
дата 05101977	Ратмир	Лаврович	Протасович	424
дата 15 January 1975	Родион	Лавровский	Протасиевич	425
дата 1986/05 Москва	Роман	Лавронов	Прохорович	426
дата рождения 5.10.1971	Ростислав	Лаврук	Радиевич	427
рождения 05/10/1986Москва	Рубен	Лаврухин	Ратмирович	428
05.10.1971	Руслан	Лаврушин	Рафаилович	429
12.янв.07	Рюрик	Лаврушко	Ремович	430
3 августа 1957	Савва	Лаврущенко	Робертович	431
13 мая 1954	Савватий	Лагодин	Родионович	432
31 сен 56	Савелий	Лагунов	Романович	433
15.12.1862	Самсон	Лагутенок	Ростиславович	434
1964	Самуил	Лагутин	Рубенович	435
1968 год	Светозар	Ладыгин	Рувимович	436
1973 Feb 10 Питер	Святополк	Ладыженский	Рудольфович	437
13.05.1977	Святослав	Ладыжинский	Русланович	438
14.01.1966	Севастьян	Ладыжников	Рюрикович	439
19861005 Москва	Селиван	Ладынин	Ремович	440
25.05.1970	Селиверст	Лажечников	Робертович	441
04.05.2003	Семен	Лазарев	Родионович	442
5-10-1986 город Коломна	Серафим	Лазаревич	Романович	443
05.05.1969	Сергей	Лазаренко	Ростиславович	444
05.01.2003	Сигизмунд	Лазариди	Рубенович	445
05.10.4626	Ксения	Лазаричева	Саввична	446
05.10.4706	Лада	Лазебникова	Савватеевна	447
05.10.1983	Лариса	Лазлова	Савватьевна	448
дата 05101988	Леокадия	Лазоренко	 Савёловна	449
дата 15 January 1976	Лиана	Лазукина	 Савельевна	450
05.10.1946	Лидия	Лазунина	Самойловна	451
06.11.1947	Лилиана	Лазурина	 Самсоновна	452
07.12.1948	Лилия	Лазутина	 Самсоньевна	453
08.01.1950	Лия	Лазуткина	 Самуиловна	454
09.02.1951	Луиза	Лазутчикова	Свиридовна	455
12.03.1952	Лукерья	Лазухина	 Святополковна	456
13.04.1953	Любава	Лайкина	 Святославна	457
15.05.1954	Любовь	Лайкова	Себастьяновна	458
16.06.1955	Любомила	Лакашева	 Севастьяновна	459
17.07.1956	Любомира	Лакашина	Севериновна	460
18.08.1957	Людмила	Лакедемонская	Северьяновна	461
19.09.1958	Майя	Лактионова	Селивановна	462
21.10.1959	Мальвина	Лысаева	Селивёрстовна	463
21.11.1960	Маргарита	Лысанова	 Селифановна	464
23.12.1961	Марианна	Лысенко	Семёновна	465
24.01.1963	Мариетта	Лысенкова	Серапионовна	466
25.02.1964	Марина	Лысяк	Серафимовна	467
28.03.1965	Мария	Лысякова	Сергеевна	468
29.04.1966	Марта	Лытаева	Сигизмундовна	469
31.05.1967	Марфа	Лыткина	Сидоровна	470
01.07.1968	Меланья	Львова	 Силовна	471
02.08.1969	Мелитриса	Львович	 Силановна	472
03.09.1970	Милана	Любавина	Силантьевна	473
05.10.1971	Милена	Любавцева	 Силуяновна	474
05.11.1972	Милица	Любанина	Сильвановна	475
07.12.1973	Мира	Любарская	 Сильвестровна	476
08.01.1975	Мирослава	Любасвкая	Симеоновна	477
09.02.1976	Млада	Любахина	Симоновна	478
12.03.1977	Мстислава	Любашевская	Созоновна	479
13.04.1978	Муза	Любашина	Созонтовна	480
15.05.1979	Надежда	Любвина	 Созонтьевна	481
15.06.1980	Наталья	Любезная	Сократовна	482
17.07.1981	Наталия	Любиева	Соломоновна	483
18.08.1982	Неонила	Любимова	 Сосипатровна	484
19.09.1983	Ника	Любимцева	Софоновна	485
20.10.1984	Нина	Любимая	 Софоньевна	486
21.11.1985	Нинель	Любина	 Софроновна	487
23.12.1986	Нона	Любищева	Софроньевна	488
24.01.1988	Оксана	Любкина	 Спартаковна	489
24.02.1989	Октябрина	Любовина	Спиридоновна	490
28.03.1990	Олимпиада	Любовцева	Спиридоньевна	491
29.04.1991	Ольга	Любочкина	 Станиславна	492
30.05.1992	Пелагея	Любусина	Стахиевна	493
01.07.1993	Поликсена	Любутина	Степановна	494
02.08.1994	Полина	Любухина	 Стратониковна	495
03.09.1995	Прасковья	Любушина	Сысоевна	496
04.10.1996	Пульхерия	Любушкина	Тарасовна	497
05.11.1981	Рада	Любченко	 Терентьевна	498
07.12.1995	Раиса	Любчика	 Тертиевна	499
08.01.1970	Регина	Любятина	Тимофеевна	500
08.02.1969	Рената	Любятинская	 Тимуровна	501
